Nb,U_over_D,route,Z,Z_single_point,Z_converged,Z_by_npts,docc,ekin,etot,n_imp,chi2_normalized,scipy_cost_half,chi2_common_norm,fit_rel_rms,dDelta,iters,fixed_point_converged,fit_optimizer_converged,bath_approximation_quality,Z_estimator_converged,accuracy_qualified,accepted,temperature_semantics,T_over_D,bath_fit_beta,eps,V,wall,direction,code_commit,dirty
3,3.2,cg,0.010331547978023882,0.00807847489224875,0,2:0.00978;3:0.00821;4:0.00870;6:0.01033,0.014770304668042494,-0.08268820934004653,-0.035423234402310544,1.0000000000000022,0.000471172448931054,0.000235586224465527,2.35586224465527e-06,0.024887926800636045,1.0792392171174653e-06,199,0,1,good,0,0,0,ground_state,0,200,0;1.3969;-1.3969,-0.0438476;0.342373;0.342373,5.71,up,1a3af4af02029a84cf998109cb60dc96217863c8,dirty
3,3.2,cg,0.010331547939039544,0.008078474872216227,0,2:0.00978;3:0.00821;4:0.00870;6:0.01033,0.014770304595160981,-0.08268820925921622,-0.035423234554701075,0.9999999999999997,0.00047117242014104517,0.00023558621007052259,2.355862100705226e-06,0.02488792597859047,1.6055165090734045e-06,199,0,1,good,0,0,0,ground_state,0,200,0;1.3969;-1.3969,-0.0438476;0.342373;0.342373,5.72,down,1a3af4af02029a84cf998109cb60dc96217863c8,dirty
3,3.0,cg,0.019856421340384702,0.017645240829680615,0,2:0.01958;3:0.01769;4:0.01813;6:0.01986,0.018644289122632832,-0.09439650582038298,-0.038463638452484475,1.0000000000000007,0.001302050659504206,0.000651025329752103,6.51025329752103e-06,0.03797980000441405,0.0,85,1,1,good,0,0,1,ground_state,0,200,0;1.2774;-1.2774,0.0604585;0.339409;0.339409,2.68,down,1a3af4af02029a84cf998109cb60dc96217863c8,dirty
3,2.8,cg,0.030506727948752577,0.028101215077711638,0,2:0.03042;3:0.02811;4:0.02858;6:0.03051,0.023310164571720002,-0.10846796354559426,-0.04319950274477827,1.0000000000000004,0.004554206777886585,0.0022771033889432924,2.2771033889432926e-05,0.065107417816481,0.0,62,1,1,good,0,0,1,ground_state,0,200,0;1.13904;-1.13904,0.0702568;0.33556;0.33556,1.86,down,1a3af4af02029a84cf998109cb60dc96217863c8,dirty
3,2.5,cg,0.05410660219512849,0.05085995615482249,0,2:0.05424;3:0.05083;4:0.05145;6:0.05411,0.033599941294652665,-0.13724230260777104,-0.05324244937113938,1.0000000000000004,0.022126559079760577,0.011063279539880289,0.00011063279539880289,0.1244712420432183,0.0,57,1,1,good,0,0,1,ground_state,0,200,0;0.890947;-0.890947,0.0810253;0.326462;0.326462,1.69,down,1a3af4af02029a84cf998109cb60dc96217863c8,dirty
3,2.4,cg,0.06635500034716744,0.06249669483576223,0,2:0.06653;3:0.06247;4:0.06320;6:0.06636,0.03868298506854594,-0.15055838698704802,-0.05771922282253776,1.0000000000000004,0.03483741166398322,0.01741870583199161,0.0001741870583199161,0.14789325189146013,0.0,61,1,1,good,0,0,1,ground_state,0,200,0;0.791507;-0.791507,0.0840947;0.32167;0.32167,1.7,down,1a3af4af02029a84cf998109cb60dc96217863c8,dirty
3,2.0,cg,0.2218556893914435,0.2030136329812057,0,2:0.21876;3:0.20368;4:0.20781;6:0.22186,0.08154187965552369,-0.2508051823421984,-0.08772142303115102,1.0000000000000013,0.12564152386077979,0.06282076193038989,0.000628207619303899,0.21036997875478364,0.0,61,1,1,coarse,0,0,1,ground_state,0,200,0;0.317437;-0.317437,0.0906947;0.285763;0.285763,1.58,down,1a3af4af02029a84cf998109cb60dc96217863c8,dirty
3,1.5,cg,0.4673634737827266,0.43970444182616913,0,2:0.46227;3:0.44119;4:0.44777;6:0.46736,0.12619138985635084,-0.3313078015179088,-0.1420207167333825,0.9999999999999997,0.1155283043125198,0.0577641521562599,0.000577641521562599,0.17349025958844103,8.594572831200113e-09,29,1,1,coarse,0,0,1,ground_state,0,200,0;0.252718;-0.252718,0.0899941;0.295193;0.295193,0.68,down,1a3af4af02029a84cf998109cb60dc96217863c8,dirty
3,1.0,cg,0.7133925131887966,0.6926965822868507,0,2:0.70973;3:0.69387;4:0.69892;6:0.71339,0.1673576720225847,-0.38292757684171125,-0.21556990481912655,0.9999999999999982,0.10267987414948312,0.05133993707474156,0.0005133993707474156,0.15141823594240272,9.070027062740868e-09,21,1,1,coarse,0,0,1,ground_state,0,200,0;0.247251;-0.247251,0.089911;0.307734;0.307734,0.48,down,1a3af4af02029a84cf998109cb60dc96217863c8,dirty
3,0.5,cg,0.9179669519291319,0.9108024547223057,1,2:0.91674;3:0.91121;4:0.91299;6:0.91797,0.20858363250266473,-0.41379521009838177,-0.3095033938470494,0.9999999999999993,0.09619111719821337,0.048095558599106684,0.00048095558599106685,0.1406677520582872,6.056870671677956e-09,16,1,1,good,1,1,1,ground_state,0,200,0;0.247835;-0.247835,0.0899372;0.315643;0.315643,0.36,down,1a3af4af02029a84cf998109cb60dc96217863c8,dirty
