lattice,N_b,U_over_D,direction,temperature_semantics,T_over_D,bath_fit_beta,llk_role,Z,docc,ekin,etot,n_imp,fit_cost_half_chi2,dDelta,iters,converged,bath_optimizer
bethe,1,1.3,down,ground_state,0,200,reproduction,0.141834242972046,0.030124564718982404,-0.23341174510584795,-0.19424981097117083,1.0,2.1606156103535774,9.909225329174376e-09,27,1,levenberg_marquardt
bethe,1,1.2,down,ground_state,0,200,reproduction,0.16536214035830477,0.034914121693329976,-0.250654701534703,-0.208757755502707,1.0,2.4993205643822627,8.347079805126612e-09,26,1,levenberg_marquardt
bethe,1,1.1,down,ground_state,0,200,reproduction,0.19377943955956697,0.040635357642261664,-0.26890398974387536,-0.22420509633738753,0.9999999999999997,2.8661941428550888,7.22360954386048e-09,25,1,levenberg_marquardt
bethe,1,1.0,down,ground_state,0,200,reproduction,0.2283396230078159,0.04750957827109352,-0.2879447026347632,-0.24043512436366965,1.0000000000000007,3.255852430695528,6.595455570579389e-09,24,1,levenberg_marquardt
bethe,1,0.9,down,ground_state,0,200,reproduction,0.2706155156802091,0.05581159166373644,-0.30746749300378534,-0.25723706050642253,1.0,3.660746629846807,6.088682003024879e-09,23,1,levenberg_marquardt
bethe,1,0.8,down,ground_state,0,200,reproduction,0.3225216828809266,0.06587713154773904,-0.327069520911088,-0.27436781567289675,1.0000000000000004,4.071266748502219,5.649076872948979e-09,22,1,levenberg_marquardt
bethe,1,0.7,down,ground_state,0,200,reproduction,0.386244295508863,0.07810448172614978,-0.34626581674522156,-0.2915926795369167,1.0000000000000002,4.476074316773214,9.946177575992365e-09,20,1,levenberg_marquardt
bethe,1,0.6,down,ground_state,0,200,reproduction,0.46394242481495135,0.09294244232426062,-0.36451099109690205,-0.3087455257023457,0.9999999999999998,4.8626407315101305,8.805943529921478e-09,19,1,levenberg_marquardt
bethe,1,0.5,down,ground_state,0,200,reproduction,0.5569677053750952,0.11085219479499471,-0.3812294163637415,-0.32580331896624415,0.9999999999999999,5.217952594130052,7.2576245846445175e-09,18,1,levenberg_marquardt
bethe,1,0.4,down,ground_state,0,200,reproduction,0.6642379816198052,0.13222750835252672,-0.3958506319306409,-0.3429596285896302,0.9999999999999998,5.529288500265306,5.2744195400133975e-09,17,1,levenberg_marquardt
