M_g,gauge,branch,U_over_D,T_over_D,observable,value_continuum,rel_Nk64,scaleaware_Nk64,gate_tol,Nk64_passes,note
1,bare_native,insulator,3.0,0.01,E_pot_over_D,6.972228004860545e-12,0.00015035133826647273,2.0965676224595244e-14,0.001,1,near-Z=0: use scale-aware
1,bare_native,insulator,3.0,0.01,E_tot_over_D,-0.00695962491828301,0.00015419334579165684,-2.146255703210087e-05,0.001,1,near-Z=0: use scale-aware
1,bare_native,metal,1.0,0.001,Z_pole,0.8948991632973781,-1.4293780557044201e-05,-1.4293780557044201e-05,0.001,1,
1,bare_native,metal,1.0,0.001,Z_mats,0.8948991632973778,-1.4293780557292328e-05,-1.4293780557292328e-05,0.001,1,
1,bare_native,metal,1.0,0.001,D_occ,0.1714752195542421,-0.00013436158593413479,-0.00013436158593413479,0.001,1,
1,bare_native,metal,1.0,0.001,n,1.0000000000000004,-2.220446049250312e-16,-2.220446049250312e-16,0.001,1,
1,bare_native,metal,1.0,0.001,Omega_over_D,-0.6945408749818682,-0.0001638563059306069,0.0001638563059306069,0.001,1,
1,bare_native,metal,1.0,0.001,E_kin_over_D,-0.366687484297104,-0.0004687323240862791,0.0004687323240862791,0.001,1,
1,bare_native,metal,1.0,0.001,E_pot_over_D,0.1714752195542421,-0.00013436158593413479,-0.00013436158593413479,0.001,1,
1,bare_native,metal,1.0,0.001,E_tot_over_D,-0.1952122647428619,-0.0007624448928773724,0.0007624448928773724,0.001,1,
1,bare_native,metal,1.0,0.01,Z_pole,0.8951264698293818,-0.0018339947121771003,-0.0018339947121771003,0.001,0,
1,bare_native,metal,1.0,0.01,Z_mats,0.8951264698293816,-0.0018339947121773488,-0.0018339947121773488,0.001,0,
1,bare_native,metal,1.0,0.01,D_occ,0.17144749401539458,-0.0013363215526454766,-0.0013363215526454766,0.001,0,
1,bare_native,metal,1.0,0.01,n,0.999999999999994,4.440892098500653e-16,4.440892098500653e-16,0.001,1,
