lattice,M_g,M_h,gauge,solver_route,quadrature,integration_nodes,Nk,n_eps,branch,U_over_D,T_over_D,U_raw,T_raw,Z_pole,Z_mats,D_occ,n,Omega,Omega_over_D,E_kin,E_kin_over_D,E_pot,E_pot_over_D,E_tot_over_D,resnorm,converged,dist_to_spinodal_UD,norm_error,roundtrip_error,floor_limited,equation_accepted,physical,gated,branch_continuous,selected
square,3,2,bare_native,bare_native,uniform_kmesh,1024,32,,metal,2.5,0.01,5.0,0.02,0.0076421668015594635,0.007642166801559432,0.021388042705795345,0.9999999999999993,-2.6155817116280247,-1.3077908558140123,-0.20898733444292852,-0.10449366722146426,0.10694021352897673,0.053470106764488365,-0.0510235604569759,3.409543044454212e-05,1,0.7,0.0,1.354472090042691e-14,0,,,,,
square,3,2,bare_native,bare_native,uniform_kmesh,4096,64,,metal,2.5,0.01,5.0,0.02,0.007641673911552822,0.007641673911552788,0.021388204266751885,1.0000000000000013,-2.6155822031987093,-1.3077911015993546,-0.20898918592971805,-0.10449459296485902,0.10694102133375943,0.05347051066687972,-0.051024082297979306,3.415202038833266e-05,1,0.7,0.0,1.1546319456101628e-14,0,,,,,
square,3,2,bare_native,bare_native,continuum_elliptic_dos,4001,,4001,metal,2.5,0.01,5.0,0.02,0.007641604521009744,0.00764160452100971,0.021388227141040248,1.000000000000001,-2.6155822735879397,-1.3077911367939699,-0.20898944336065473,-0.10449472168032736,0.10694113570520124,0.05347056785260062,-0.051024153827726744,3.4159503802840086e-05,1,0.7,4.440892098500626e-16,1.4432899320127035e-14,0,,,,,
square,3,2,bare_native,bare_native,uniform_kmesh,256,16,,metal,3.0,0.01,6.0,0.02,0.001995005746377941,0.001995005746377932,0.014346362010947904,1.0,-3.0981587310431102,-1.5490793655215551,-0.17073209371263717,-0.08536604685631859,0.08607817206568742,0.04303908603284371,-0.042326960823474875,2.445773168582438e-05,1,0.2,0.0,3.1530333899354446e-14,0,,,,,
square,3,2,bare_native,bare_native,uniform_kmesh,1024,32,,metal,3.0,0.01,6.0,0.02,0.001992419960401001,0.001992419960400992,0.014348001717342447,0.9999999999999998,-3.098163702671144,-1.549081851335572,-0.1707523034123693,-0.08537615170618465,0.08608801030405468,0.04304400515202734,-0.04233214655415731,2.5037037936803554e-05,1,0.2,0.0,2.5757174171303632e-14,0,,,,,
square,3,2,bare_native,bare_native,uniform_kmesh,4096,64,,metal,3.0,0.01,6.0,0.02,0.0019910861613569126,0.0019910861613569044,0.014348864635022449,1.0,-3.098166317964033,-1.5490831589820164,-0.1707629132571992,-0.0853814566285996,0.0860931878101347,0.04304659390506735,-0.04233486272353225,2.5344510266171747e-05,1,0.2,0.0,2.1760371282653068e-14,0,,,,,
square,3,2,bare_native,bare_native,continuum_elliptic_dos,4001,,4001,metal,3.0,0.01,6.0,0.02,0.0019911128826745634,0.0019911128826745565,0.01434883979086903,1.0000000000000004,-3.0981662441237603,-1.5490831220618801,-0.1707626065075795,-0.08538130325378974,0.08609303874521418,0.04304651937260709,-0.042334783881182655,2.5335352010459854e-05,1,0.2,0.0,2.708944180085382e-14,0,,,,,
square,3,2,bare_native,bare_native,uniform_kmesh,256,16,,insulator,1.0,0.01,2.0,0.02,5.400173624606717e-12,5.400173624606693e-12,0.16745094332609287,1.0000000000000002,-1.2922141522193655,-0.6461070761096828,-0.6181911172819627,-0.30909555864098137,0.33490188665218573,0.16745094332609287,-0.1416446153148885,0.002379882512970809,0,2.2,0.0,2.8687718867104195e-11,1,,,,,
square,3,2,bare_native,bare_native,uniform_kmesh,1024,32,,insulator,1.0,0.01,2.0,0.02,5.399978846253546e-12,5.3999788462535224e-12,0.1674492828974434,0.9999999999999997,-1.2922138766180034,-0.6461069383090017,-0.6181874357320718,-0.3090937178660359,0.3348985657948868,0.1674492828974434,-0.1416444349685925,0.002379898311413622,0,2.2,2.220446049250313e-16,4.1498970926312495e-11,1,,,,,
square,3,2,bare_native,bare_native,uniform_kmesh,4096,64,,insulator,1.0,0.01,2.0,0.02,5.39986811439674e-12,5.3998681144114615e-12,0.16744837866705384,1.0000000000000004,-1.292213654941552,-0.646106827470776,-0.6181852839119223,-0.30909264195596114,0.3348967573341077,0.16744837866705384,-0.1416442632889073,0.0023798654901785866,0,2.2,2.220446049250313e-16,2.6403323971635473e-11,1,,,,,
square,3,2,bare_native,bare_native,continuum_elliptic_dos,4001,,4001,insulator,1.0,0.01,2.0,0.02,5.399870625394067e-12,5.399870625394051e-12,0.16744836456752224,1.0,-1.292213776891458,-0.646106888445729,-0.6181854480627499,-0.30909272403137494,0.3348967291350445,0.16744836456752224,-0.1416443594638527,0.0023799044240142017,0,2.2,0.0,3.5512759399836114e-11,1,,,,,
