M_g,gauge,branch,U_over_D,T_over_D,observable,value_continuum,continuum_nodes,value_Nk16,abs_Nk16,rel_Nk16,scaleaware_Nk16,value_Nk32,abs_Nk32,rel_Nk32,scaleaware_Nk32,value_Nk64,abs_Nk64,rel_Nk64,scaleaware_Nk64
1,R_native,metal,2.0,0.001,E_pot_over_D,0.1875996078339315,4001,0.1855848552528959,-0.002014752581035617,-0.010739641752445097,-0.010739641752445097,0.1870847395056847,-0.0005148683282468203,-0.002744506420837491,-0.002744506420837491,0.18747545781330646,-0.00012415002062504676,-0.0006617818771505529,-0.0006617818771505529
1,R_native,metal,2.0,0.001,E_tot_over_D,-0.06335160318011915,4001,-0.06187486042755119,0.0014767427525679555,-0.02331026648795817,0.02331026648795817,-0.06299732214511591,0.0003542810350032344,-0.005592297861759779,0.005592297861759779,-0.06326793254271693,8.367063740222225e-05,-0.0013207343334995438,0.0013207343334995438
1,R_native,metal,2.0,0.01,Z_pole,0.5951211897581942,4001,0.5913294626523202,-0.0037917271058739432,-0.006371352879259052,-0.006371352879259052,0.5947055797767264,-0.0004156099814677239,-0.0006983619279908212,-0.0006983619279908212,0.5951111058657318,-1.0083892462375843e-05,-1.6944267211310464e-05,-1.6944267211310464e-05
1,R_native,metal,2.0,0.01,Z_mats,0.5951211897581934,4001,0.5913294626523193,-0.0037917271058740543,-0.006371352879259247,-0.006371352879259247,0.5947055797767256,-0.0004156099814678349,-0.0006983619279910088,-0.0006983619279910088,0.595111105865731,-1.0083892462375843e-05,-1.6944267211310488e-05,-1.6944267211310488e-05
1,R_native,metal,2.0,0.01,D_occ,0.09344424385670673,4001,0.09268880264305329,-0.0007554412136534377,-0.008084406085107593,-0.008084406085107593,0.09336088167458914,-8.336218211758839e-05,-0.0008921061231489143,-0.0008921061231489143,0.09344222063315688,-2.0232235498490736e-06,-2.165166591696768e-05,-2.165166591696768e-05
1,R_native,metal,2.0,0.01,n,1.0000000000000002,4001,0.9999999999999996,-6.661338147750939e-16,-6.661338147750938e-16,-6.661338147750938e-16,0.9999999999999999,-3.3306690738754696e-16,-3.330669073875469e-16,-3.330669073875469e-16,0.9999999999999997,-5.551115123125783e-16,-5.551115123125782e-16,-5.551115123125782e-16
1,R_native,metal,2.0,0.01,Omega_over_D,-1.0620874921995487,4001,-1.061590032582476,0.0004974596170725931,-0.00046837913140505063,0.00046837913140505063,-1.0620545660049565,3.292619459216439e-05,-3.100139567972438e-05,3.100139567972438e-05,-1.0620870295823508,4.6261719788276423e-07,-4.3557352975195955e-07,4.3557352975195955e-07
1,R_native,metal,2.0,0.01,E_kin_over_D,-0.24970119949490563,4001,-0.24711385434170718,0.002587345153198445,-0.010361765015274712,0.010361765015274712,-0.24941384141857526,0.000287358076330374,-0.0011508077530730351,0.0011508077530730351,-0.249694223435999,6.976058906621452e-06,-2.7937626734403318e-05,2.7937626734403318e-05
1,R_native,metal,2.0,0.01,E_pot_over_D,0.18688848771341346,4001,0.18537760528610658,-0.0015108824273068755,-0.008084406085107593,-0.008084406085107593,0.18672176334917828,-0.00016672436423517678,-0.0008921061231489143,-0.0008921061231489143,0.18688444126631376,-4.046447099698147e-06,-2.165166591696768e-05,-2.165166591696768e-05
1,R_native,metal,2.0,0.01,E_tot_over_D,-0.06281271178149217,4001,-0.0617362490556006,0.0010764627258915693,-0.01713765725696228,0.01713765725696228,-0.06269207806939697,0.00012063371209519724,-0.0019205302346258848,0.0019205302346258848,-0.06280978216968525,2.9296118069233046e-06,-4.6640428725870066e-05,4.6640428725870066e-05
